Puzzle,Solution,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
..1..5....3.......5.6.....71......3...54.6....6732.8.5..2.74..67....3.........1.2,871945263234617958596832417129758634385496721467321895952174386718263549643589172,25,89,18,2,0,1,1,6,10,Expert,
..53....8...5.......8....7.7.......6..9..5......981..3.2...3..1.6.....529536...8.,675329148412578639398146275781234596239765814546981723827453961164897352953612487,25,53,3,0,0,0,0,0,0,Easy,
7...5..8....1.....8.5...6.969...27.1.....4..814...7.....2..6.5........7....7.5..4,731659482469128537825473619693582741257914368148367295972846153584231976316795824,25,41,15,0,0,0,0,0,0,Easy,
.3.....5....6..243...95.6.......4..5.53.............8.1.9.3....2..8..1.6...56....,631247859597618243824953617782194365453786921916325784169432578245879136378561492,23,40,18,0,0,0,0,0,0,Easy,
.5...91....92.17..13...8..2.8.1.3.2...7.5.....95..2.8.9...............7.4.....89.,752439168849261753136578942684193527217856439395742681973685214528914376461327895,26,58,12,1,1,1,1,3,2,Expert,
.....7..1.7..81.52..9...8..385....6......6.8...2.....75.3...9...17.....5.6.2.....,238457691476981352159623874385742169741596283692138547523874916817369425964215738,25,45,9,1,0,2,0,2,0,Expert,
..37.6.14....9..3.5.....7....7.5....32...19.....2......6.3......4.915...7.1..4.9.,293786514174592638586143729417859263328461957659237481965378142842915376731624895,26,41,13,0,2,2,0,1,0,Expert,
.7.......5.....2..89....47.2.........84.7....6.5..8.9.4...168..1..79.62....5....4,372945186541867239896231475217659348984173562635428791429316857158794623763582914,26,41,23,0,0,1,0,2,2,Expert,
7..4..36...5.7.....46..........47.9...19.5...5..61.......3..4.73.27......5....9..,718429365935176284246583719623847591871935642594612873169358427382794156457261938,25,37,18,0,0,3,0,1,0,Expert,
....9..2...5..6.7..9.2.43.6.2.9.3...6.35.7............9..1....31....56...47.3....,364791528215386974798254316521943867683517492479862135956128743132475689847639251,26,49,20,2,0,0,0,2,2,Expert,
..28..4..9..7..65...74.9.....9.5....67.9.4............39.......4.6...523..5.....6,132865479948732651567419382819253764673984215254671938391526847486197523725348196,25,49,7,1,0,0,0,0,0,Intermediate,
........6......58...93....46...84..9.756..8.29.4..5.........6...3........97..8.25,751842936342976581869351274623784159175639842984215763518423697236597418497168325,25,36,20,0,0,0,0,0,0,Easy,
.5..2...8.96.3..5.3.....6....4....656.....8.1..18..29..6.34.5..9........4....8...,157426938896137452342589617284913765639752841571864293768341529923675184415298376,26,46,8,2,0,0,0,1,0,Expert,
.8...6...46.3.....5.2.7.......542.1......8......61.48.14.........748..5..28.....7,781296534469351728532874196876542319214938675953617482145729863697483251328165947,26,42,13,0,0,0,0,0,0,Easy,
....1....7..3.9.2.....82.....9...38..7..91..442.8.....26..3.8.....2.....3...74.9.,532716948718349526946582173659427381873691254421853769264935817197268435385174692,26,87,8,2,2,0,0,8,14,Expert,
....94..7.8........46....5...5..1.8.1..6.7.4..6..5.......54...6......2.....7.2..9,512894367387165492946273158795421683128637945463958721271549836859316274634782519,23,42,15,1,2,6,1,1,0,Expert,
..8.7..9.....5....5......7.4...12.8521.....6..6...5......7..1..6....9.4.....8172.,138476592749258631526193478497612385215837964863945217382764159671529843954381726,25,36,20,0,0,0,0,0,0,Easy,
....97.......16.35...38.6..........93..95.....5......61.9.......3....47..74..51.8,463597281287416935591382647748621359316958724952743816129874563835169472674235198,25,49,7,0,0,0,0,0,0,Easy,
72.64.35..315....4...1.....1.3....922....1..7...9...........423...4...69..9.....5,728649351631528974954173286183764592295381647467952138516897423372415869849236715,27,40,14,1,0,0,0,0,0,Intermediate,
1....5......6....2.5....9..4.5.6.....3..1..........57..172...4369...4..13..7.....,186925437943678152752143986475862319839517264261439578517296843698354721324781695,24,52,20,1,0,2,0,5,4,Expert,
5..6...9....783.2.....2...7...........73..2..61...2..3...1.76..8..56.1...........,572614398496783521138925467325476819987351246614892753259137684843569172761248935,23,39,19,0,0,0,0,0,0,Easy,
...4.6......173...4.........3...264.92..6...76...9.5.2.7..1.2.........6131...5...,781456923269173854453928176135782649928564317647391582874619235592837461316245798,26,43,12,3,0,0,0,0,0,Intermediate,
8....4.59...2..........7.....29...7......5..2.1.8......3....1.4..14.2.8.49...87.3,827314659153296847946587231562941378389675412714823596238759164671432985495168723,25,43,13,1,0,0,0,0,0,Intermediate,
.891..7.6.36.48...1..9.643.......6...9...75.........9....6..1.95......4.....813.7,489153726736248915152976438815392674293467581647815293378624159561739842924581367,28,38,15,0,0,0,0,0,0,Easy,
71.63.......7.....39..4....85.............61...3.9....1.9.7.45..7....96.64....1.3,714632895286759341395148726851467239927583614463291587139876452572314968648925173,26,62,9,3,2,3,0,2,2,Expert,
..9...26.2.63....81...5.....3...4952894...3............2......96..49.5.........1.,379841265256379148148256793731684952894512376562937481427165839613498527985723614,25,47,9,1,0,1,0,0,0,Intermediate,
58....1..3.286.........2....26..5....3...1.....5...43.......95....238..1.6......4,589473126312869547647152893426385719738941265195726438873614952954238671261597384,24,47,10,7,0,0,0,0,0,Intermediate,
.3.......2.5.....11...4....9.....5...6.4.19....25.6.......18.....3....1.4.8.693.5,834125796295687431176943258941872563567431982382596147759318624623754819418269375,25,44,12,0,0,0,0,0,0,Easy,
.314...5.5.7.8.6..............73...49.......5..6.9.8.1.83..14......7.1..6......9.,831426759547389612269517348128735964974168235356294871783951426495672183612843597,25,69,15,3,0,1,0,4,4,Expert,
2.954.7...8...1.9....86...........6...21..8.9.9...64.5........41..6.......5...28.,269543718584271693713869542857492361642135879391786425976328154128654937435917286,25,55,23,1,0,0,0,5,6,Expert,
..83......7.......416.7....8...2.75.3...6.2...2.......7..61...5..2..764.6.4..8..3,298356417573142986416879532861923754345761298927485361739614825182537649654298173,27,48,6,0,0,0,0,0,0,Easy,
...2.3...59.....3.3...756...7.36.......8............966..9..72.9..1.2..31...8....,716293548594618237382475619475369182269841375831527496658934721947152863123786954,25,45,11,1,0,0,0,0,0,Intermediate,
1..3.....3...5.1.67.2..1.........2956.......7........19.327.5....763...9.5.8..7..,195326874348957126762481953874163295621598347539742681913274568287635419456819732,27,40,14,0,0,0,0,0,0,Easy,
1.54...6....9.2.1..49.16..8......64..7.....5.....6.9..7..5......5..48.7.8.4.7..9.,125483769687952413349716528598137642276894351413265987761529834952348176834671295,28,32,21,0,0,1,0,0,0,Intermediate,
.......6.3.9......27.4..5...9.8.7.....7.9....5...6..4..425..89..537.24...........,415978362389625174276431589694857231137294658528163947742516893953782416861349725,25,43,13,2,1,1,2,0,0,Intermediate,
..9.2..7.2....763.5....1..413....9..6..3....5..2......915.........6.....7...5.4.9,389426571241597638576831294134785962697312845852964317915243786428679153763158429,25,60,11,2,0,2,0,4,2,Expert,
..9......3........278.9..13.....93..9.6.....2..723.1.818..7.....9..8..2.4.3.2..7.,659317284314862957278495613821749365936158742547236198182974536795683421463521879,28,44,9,2,0,0,0,0,0,Intermediate,
3...1562.....4....2....6..1..2.5.39....6...7.....321...5..79..41.......3.4...1...,394815627617243985285796431462157398931684572578932146856379214129468753743521869,26,31,23,1,0,1,0,1,0,Expert,
..4..1.2........1.9.8.........76.2..16.9.24.....4.87...........8.5.7..46271....8.,654391827732846915918527634483765291167932458529418763346189572895273146271654389,26,37,18,0,0,0,0,0,0,Easy,
....9....21.4..8..87..5.1..7..91.4..3..2.4.5......8..2.83....4..4.........2.....5,634891527215467893879352164726915438398274651451638972583126749947583216162749385,25,32,24,0,0,0,0,0,0,Easy,
4..2.......3.7..5...5..6..8...54.2.....9..3......37..5.9....4.3...79......6...98.,471285639683479152925316748369548271758921364142637895597862413814793526236154987,24,73,14,2,0,1,1,4,4,Expert,
1.59....2.647..5.....1.47..3..5.1.96..1..3......2..........96....2....4...36.....,175986432864732519239154768327541896591863274486297351758419623612378945943625187,25,41,15,4,0,0,0,0,0,Intermediate,
.....2.....4.6..8.1..7..9...2.........3.......9..4..12..983.1....8..97..2...14.6.,386492571974165283152783946421976358863251497795348612649837125518629734237514869,24,35,22,0,0,0,0,0,0,Easy,
..89...3..6.18.9.23...72......2.56.....8................17....627..598.1.3....2.5,528946137467183952319572468783295614645831729192467583851724396276359841934618275,27,49,5,0,0,0,0,0,0,Easy,
...8.9....3..2.......637.4..84.....7.....5..2..94...8526.9..3....8.7.......2.6.5.,645819723837524916192637548584192637316785492729463185261958374458371269973246851,26,57,13,1,1,0,0,2,2,Expert,
.3.59.6.....23..5......6.87...9....88.4..5.6....7...3.9.....27...5......4.385....,138597624746238951592416387327964518814325769659781432981643275265179843473852196,26,35,20,1,0,0,0,0,0,Intermediate,
5.1....738....69...3...46.5....79........8..1....5....39..4.....75..1.4...69..3..,561892473847536912932714685124679538653428791789153264398247156275361849416985327,26,55,0,0,0,0,0,0,0,Simple,
....9..524...5.........6..985..21..7.....9.4...9875..6......7.4.....78...8..4..91,768394152491258673523716489856421937172639548349875216215983764934167825687542391,27,38,16,0,0,0,0,0,0,Easy,
.3496.2.....7...9.....428.....68...2...3.........21386.23..47.9..8.9...1.........,734968215812735694695142873341687952286359147957421386523814769478296531169573428,27,43,10,0,1,1,3,1,0,Expert,
.5..8.3..8..9.54.1.1.7.3..2...247.....5..1....2.5........4.8.3....3..5....2.1....,256184397873925461419763852361247985745891623928536174197458236684372519532619748,26,36,19,3,0,0,0,0,0,Intermediate,
...537............3...2.46...43.........9..7......6.828..4....9....82.46.67..32..,946537821782614953351829467214378695638295174579146382825461739193782546467953218,25,46,10,0,0,0,0,0,0,Easy,
..1......5...6.8....793..4..7.....9.8.4.7.5.......9.1....7...6..154.8..9.........,461287953539164827287935641176352498894671532352849716948713265615428379723596184,23,49,17,0,0,0,0,2,2,Expert,
.3.41........67.5..679..1.4....7.3.........789.8...56......3.8..4.19..........9..,835412697491367852267985134526871349314659278978234561159723486643198725782546913,25,44,12,2,0,0,0,0,0,Intermediate,
..7.495...18......6....384..........7...96......4.5.3......1.5...63...1....67.38.,327849561418562973695713842541237698783196425269485137834921756976358214152674389,25,53,11,2,1,1,0,3,2,Expert,
.8...1..3....9..82.74.......9......8.......4.6...8...7..9..4.1.1...7..3..472.6..9,286541973513697482974832561491765328738129645652483197829354716165978234347216859,25,46,10,1,0,0,0,0,0,Intermediate,
..8..15...6........93..6.4...7....95....45..83.4...6....1..4.....67..3.9.3...9.8.,478921563562483917193576842817632495629145738354897621981354276246718359735269184,26,34,21,0,0,0,0,0,0,Easy,
.6.2...51...7....829...36...53..791.9..5....6.8.39.....1........7.9.8..........7.,764289351135764298298153647653827914927541836481396725316472589572918463849635172,26,45,10,1,1,0,0,0,0,Intermediate,
6...341.214......3..37..5..8.2.......1..5.6..5....67..4....1...7....8..4.....3...,675834192149265873283719546862197435317452689594386721426971358731528964958643217,25,44,12,0,0,0,0,0,0,Easy,
5..7.4.....85..76.....1......6..1............21.87..9569...2.8..471.5.......9.4..,521764839438529761769318542956241378873956214214873695695432187347185926182697453,26,44,11,0,0,0,0,0,0,Easy,
7.4.532......7.34....2...5.........2..3.....9.57..8.....8.9..7.4.5...83.3.6..4...,714853296562971348839246157641539782283417569957628413128395674495762831376184925,26,37,18,0,0,0,0,0,0,Easy,
.......7..23...86.68.2.1.....543.....6..1..5.1...7.3...74.............1...1..843.,419386572523794861687251943795432186362819754148675329874123695936547218251968437,25,40,16,0,0,0,0,0,0,Easy,
95..8.32...2..4..54...261.8.64......5.9..3..63......1...8..2..3.....7...6.5......,956781324812934765473526198164298537529173846387465912798612453241357689635849271,27,50,4,0,0,0,0,0,0,Easy,
..9.6.5...8..3....5...1.3.8..85.16.......3.7..7..26.39617...9...5.........2......,439268517781935426526714398398571642264893175175426839617382954953647281842159763,26,69,13,7,2,4,1,3,2,Expert,
9.......6...2...59.8.........6.3....2.3.59...15.6......673.2.....591...7...5..3..,931475826674283159582196734796831245243759618158624973867342591325918467419567382,25,39,16,0,0,0,0,1,0,Expert,
...5...6....4....2.9...31..........94.3...6........3212.1.75..6..9.....3..49.2.5.,342581967817469532596723184165237849423198675978654321281375496759846213634912758,25,31,22,0,0,1,0,3,0,Expert,
..29.6..3.49...6......3......86.........147.2....2.3.......94.77...4...1....78..9,572986143349751628681432975238697514956314782417825396823169457795243861164578239,25,39,17,0,0,0,0,0,0,Easy,
........64......12.6.7.....1..9.74......8..5......2..8...2.8.7.7.....62.69...45..,871425936435896712269731845128957463946183257357642198514268379783519624692374581,24,52,5,0,0,0,0,0,0,Easy,
..16.....4...8..9.......685........16795...38..5.487...8.9...5.....6....7.......3,851679342436285197927413685348796521679521438215348769184937256593162874762854913,25,50,6,0,0,0,0,0,0,Easy,
.....4.2.9.7...1...1..........9.8........7.3...94..678......31...273.....64.2..8.,536194827927385164418672593673958241841267935259413678795846312182739456364521789,24,46,11,0,0,0,0,0,0,Easy,
..68.9.....8..4......2....5.....6..2..9.4.....6.12...31.2.9...68..4...5......34..,716859234528634917934271685351986742289347561467125893142598376873462159695713428,24,39,18,1,0,0,0,0,0,Intermediate,
9.4......81...3......8..6..7..4...6...6.18.......329.1..........7..4...2..3...4.8,964127385817563249532894617721459863396718524485632971249381756678945132153276498,23,34,24,0,0,0,0,0,0,Easy,
.57.4..6.9.6.........52....2...54...5.38....2........4..4....89....3..5..7...84..,157943268926781345438526971261354897543879612789612534314265789892437156675198423,24,46,21,0,0,4,1,3,2,Expert,
...5...6......2...328..6.59.5.24..87.796.5.......836..437........59......6.......,714598362596432871328176459653249187879615234142783695437851926285964713961327548,27,41,13,0,0,0,0,0,0,Easy,
.....6.....4.72..57.9..14..2....95.7.7..1.8.651....9.28..5.................6.8..9,352486791184972365769351428246839517973215846518764932821593674695147283437628159,26,43,12,1,0,0,0,0,0,Intermediate,
4.1..7.8..7.5......5..81.3...2.1..5.....53............1....8.42...1..86.63...47..,421397586873546291956281437382719654769453128514862973195678342247135869638924715,26,56,9,0,0,0,1,2,2,Expert,
..7....5..6.......5....8.2....17..48....52..7..3........1.8....4.87.3....3.465...,387921654962547831514638729295176348846352917173894265651289473428713596739465182,24,47,9,2,1,0,0,1,0,Expert,
68..531....3.18...4..76......6..73..1..6.....5...31..........7..41....6.7.5....2.,687453192953218647412769538826547319139682754574931286398126475241875963765394821,26,84,12,2,1,2,0,5,4,Expert,
.73....6...2.....5.9.5.....3..25.....8..367....9.4.....68...9...54.2.........9.7.,573194268812673495496582137347251689185936742629748351768415923954327816231869574,24,66,17,1,0,3,0,5,6,Expert,
..2..1....86..4.2.17..62..........87....1.5......8.169.1..576.2.......4...4.2.8..,542831976986574321173962458651349287829716534437285169318457692265198743794623815,27,39,14,3,1,1,0,1,0,Expert,
......6.....5..8....5....17...8.....8..96.35.....34.....9.7143..46..91...376.....,328197645714526893965483217493815762871962354652734981589271436246359178137648529,26,53,15,0,0,1,0,2,2,Expert,
7......68..8....1..............6..57.53...1..1..8...933..64..7.4.6.87..5.1...34..,749215368238476519561938742984361257653729184172854693395642871426187935817593426,27,39,15,0,0,0,0,0,0,Easy,
86.47....3....8.....516.......2..8...5.6..1.7.8...15....1.26.8.......7....7.45..2,869473251312598476475162938194257863253684197786931524541726389628319745937845612,27,39,14,1,0,2,0,1,0,Expert,
85.4...........84.3.........168...3.........5..31.27...6..3...2..261...77...8.65.,851463279697521843324978516216857934978346125543192768165739482482615397739284651,26,34,21,0,0,0,0,0,0,Easy,
.65.....4.....85......6......34..9.66...81.4..4.39.1788...5......7.......3.74....,965137284714928563328564719183475926679281345542396178891652437457813692236749851,26,36,19,0,0,0,0,0,0,Easy,
....2..6...9...85...4.8.2.1....79.8.8....56..6...1.5.4.......4.7..49...6...2.7...,387521469219764853564983271451679382892345617673812594928136745735498126146257938,26,66,9,2,0,0,1,6,8,Expert,
..2.4.83......6.2.....37.1...4153..........4..3.6..5..4.5.....772.4.......3..8..1,572941836319586724846237915294153678657892143138674592485319267721465389963728451,26,27,23,2,0,3,0,5,0,Expert,
94..73....5.2.67..6.......2..68..2.....4.263..93............5......8..4.7.....36.,942173856851246793637958412416839275578412639293765184164397528325681947789524361,25,32,24,0,0,0,0,0,0,Easy,
...2...1..3.4.............2....1.3..96.3....8.7....16...6..3.71892.4.......6.9...,687295413239461785145738692528916347961374258374582169456823971892147536713659824,24,38,18,1,0,0,1,1,0,Expert,
.5..2..........6....291...5..4......91...4.3...8..29..24.....6...9.3...4.6..598..,457623198891745623632918475324197586916584237578362941245871369189236754763459812,25,42,31,1,0,2,0,7,6,Expert,
4...8....97.3...1.....7...6...5...9......4.5.....184.......3....51...3.47.....9.1,425681739976345218318279546164532897287964153593718462849123675651897324732456981,23,82,23,2,1,0,0,8,14,Expert,
...4...2136...1.5......2...13.....7.4.6.5....9.5.74.1..5....1...4.....32.......95,897465321362981457514732968138629574476153289925874613753298146649517832281346795,26,53,14,0,0,2,0,2,2,Expert,
2.9.5........4.......7....4.3.....9...4..93.2.58.37.6.5.....1....35.4....6......9,249851637716943825385726914132465798674189352958237461527698143893514276461372589,24,47,20,0,0,0,0,6,6,Expert,
.2..9..75.....8.6....7..1.....6.921.....71..4.8...46..8.......1.652.....14...7...,328196475417358962659742183574639218236871594981524637893465721765213849142987356,26,37,19,1,0,1,0,4,2,Expert,
3..4..........2.3...6..5.....2.4.8....49.7.65.958........3...9.....79.2.7....85..,327481956581692437946735182672543819834917265195826374268354791453179628719268543,25,53,3,0,0,0,0,0,0,Easy,
.6...32..1..5.......3.6.9.5.8....4..63..9.5.....1.2.9.........28..2.4.6....3861..,569743218178529643423861975982657431631498527754132896346915782815274369297386154,27,34,17,1,2,4,0,3,0,Expert,
.5...7..924...9..7..3.42.8..6....2..8...............5..9.7.5642....3.9........8.5,158367429246859317973142586567418293819523764432976158391785642685234971724691835,25,51,5,1,1,0,1,0,0,Intermediate,
7.1..692.......4.....5..6.3..5..7........325.......1..3.9..5.622.6........4.1..9.,741386925653291487928574613165427839897163254432958176319845762286739541574612398,25,47,9,1,0,2,1,0,0,Intermediate,
...3.9..8......2..1....46..7.1......46..8.97....9.2...8....7...619.....32.......6,527369418946815237183724659791546382462183975358972164834697521619258743275431896,24,39,18,3,0,0,0,0,0,Intermediate,
.4.6...1...7.98...8..2.1.79.9...54....4...76..1.7..9..6...8......5.......21...6..,942657813157398246863241579796835421534912768218764935679483152485126397321579684,26,41,13,2,0,2,0,1,0,Expert,
7..41..3...4....686..9....1..8.7.2..2...........3.....32..8..1..........819.2...7,785416932194237568632958741468571293253869174971342685326785419547193826819624357,24,36,21,0,0,0,0,0,0,Easy,
........53.......6...413....2.6.....53.7.21.496..3..2..5......249.2.56.7.........,742869315319527486685413279124658793538792164967134528856371942491285637273946851,26,45,9,4,1,0,0,1,0,Expert,
8...6..3.9...2..7...3.1728...7.8...6......7............3...2.....65.3..2.9....15.,872465931951328674463917285347289516185634729629751348538192467716543892294876153,24,40,17,2,0,0,0,0,0,Intermediate,
.......24....1.7....24..69.....3.8...84..9.3761........7.2..........1.4...6...1.8,851796324469312785732485691927534816584169237613827459175248963398671542246953178,24,36,20,0,1,1,0,1,0,Expert,
1....72...4......33.7946.5.....9..............79.2.5...53.1..6.4...79...91...2.3.,195837246846251793327946158284695371531784629679123584753418962462379815918562437,27,34,20,0,0,0,0,0,0,Easy,
6..3.........7.4..3....47.1..2...3..14...527.....49.......6.5.......314......1627,674312985851976432329854761962187354148635279735249816217468593596723148483591627,26,45,10,0,0,0,0,0,0,Easy,
.7.5.2....4..31.7..3.4...595.......7..3....6..267.41......76.4.......6.........2.,679582314245931876138467259514623987793815462826794135982176543357248691461359728,25,44,19,1,0,0,0,2,2,Expert,
.5.1.89.....67.....6.3..4.8.91...8.....8.....3....6.5......7....8..9...6517......,753148962824679315169352478691735824275814693348926157936287541482591736517463289,24,33,24,0,0,0,0,0,0,Easy,
.29......7.......86..72.34........754..9..8...78.5...4.............8526..4.6...53,329548716714396528685721349293864175456917832178253694562139487937485261841672953,26,41,14,0,0,0,0,0,0,Easy,
.9.63.28..4....1...5......9.12.5...6....439.........4...9....25.2.9....8..6......,791635284648297153253418769412759836865143972937862541179384625524976318386521497,24,35,22,0,0,0,0,0,0,Easy,
.547.9.....1.......7.528...9.2.........3.5....87..4.9..9....4......713.87.8......,654719832821643759379528614932187546146395287587264193293856471465971328718432965,25,54,12,0,0,1,0,3,2,Expert,
689.......4.6........15.8.............58...6.79.....2.47...1..2..658..74...7...9.,689423157541678239237159846364295718125847963798316425473961582916582374852734691,25,39,12,0,0,0,0,5,0,Expert,
.36..75.......97....2....631...28....68....3..5..1.69...9.........78............5,936247581581369724742851963193628457468975132257413698879534216615782349324196875,23,58,0,0,0,0,0,0,0,Simple,
8..3.1..9..1...6...968......78.9..1.63.......2..6.5........85.2......3...6.9....1,857361429421759683396824175578493216634217958219685734943178562182546397765932841,25,38,18,3,0,0,0,0,0,Intermediate,
...9...8.71...4...5..68..3.4.6.....9............8..76..915.74..67.........4...8.1,263975184718324695549681237486752319927163548135849762891537426672418953354296871,25,36,20,0,0,0,0,0,0,Easy,
.9.24.3..7.1..9..2...71.8...8.......3......4.......6...1.46...8.4..8...7..8.7.96.,895246371761839452423715896689154723372698145154327689917462538546983217238571964,26,48,7,0,0,0,0,0,0,Easy,
..2.6.3.5.......1.........945.7.9..13........2.91..4......31.5....6......1.49.6.3,142967385695382714738514269456729831371846592289153476864231957923675148517498623,25,42,14,3,1,1,0,0,0,Intermediate,
...4...5...6.1.......5..672.9..3.7.537....24......4..1..5...3.....3....67.1.6..2.,987426153256713498413589672194238765378651249562974831645192387829347516731865924,26,52,3,0,0,0,0,0,0,Easy,
..9.......7.56....6..2.394.9..........2.85....5.......3.69.245......468....63.2.9,529841376473569821618273945934127568162385794857496132386912457291754683745638219,27,40,14,0,0,0,0,0,0,Easy,
......2.3.4.....7.......54.3.548...7...6.1...7.625...8.28.6..3...1.....54.....86.,957146283142538976863792541315489627284671359796253418528967134631824795479315862,27,54,0,3,0,0,0,0,0,Intermediate,
...5...43....49..72..8........184.9.....7...2.......8.483.5....5.9..2.....7....59,796521843851349627234867915372184596948675132165293784483956271519732468627418359,25,36,20,1,0,1,0,0,0,Intermediate,
..1.5...6.5.1...7828.69..3..1.37...29.....357.........3...8.....68.2.1.......3...,731258946659134278284697531516379482942816357873542619325981764468725193197463825,27,59,21,1,0,2,1,4,6,Expert,
74.......5..8......2........5.7..1.9.3...824.1.74....5..954.7..2...........2..39.,748635912593821476621974853452763189936158247187492635319546728274389561865217394,25,41,15,1,0,0,0,0,0,Intermediate,
....5...6..86.17...1.4.2....91..7....8.2....97.2...18.45.....9...69.8............,273859416948631725615472938591387264384216579762594183457163892126948357839725641,25,41,15,0,0,0,0,0,0,Easy,
..762..38.24....1.8....3.9....4....7....7..6...3..2....982....62..9.....43...8...,917625438324897615865143792659481327182379564743562981598234176271956843436718259,26,40,23,0,2,1,1,3,2,Expert,
.5......17.3.1....6.....5.....4..9.3..4.5....91..6...23..7..2...72..9.....5..4...,258396741743518629691247538526471983834952176917863452369785214472139865185624397,24,48,9,2,0,0,0,0,0,Intermediate,
......8..38..29.....1.8..7.2...9....1...5..875..3..............94.2.3.1..3..78..2,759431826386729451421586379264897135193654287578312694812945763947263518635178942,25,56,0,0,0,0,0,0,0,Simple,
.52..3.8.9....5....4....62....54..6.7..............37.......4.....69.2..36..7....,652413789987265143143789625831547962726931854495826371279358416518694237364172598,22,44,15,1,0,5,0,0,0,Intermediate,
4...97.52..65.2..3.....4....5...3.......21.97.6.7.......2...165.3..........4.....,418397652976582413523164789157943826384621597269758341742839165835216974691475238,24,43,14,0,0,0,0,0,0,Easy,
.....4.....8....24.......3...9....8..1..253..82.3.9.5.2.....87.7..1.2...5...471..,975234618138596724462718935359471286614825397827369451241653879796182543583947162,26,36,19,0,0,0,0,0,0,Easy,
...8...62..5...4..9.....3.75.3.8........7..9..7.32.5.........3....4.7..6....96.2.,347859162215763489968142357523984671184675293679321548496218735852437916731596824,24,37,20,0,0,0,0,0,0,Easy,
....1..5....4..3.......6.7..4..2.73.16......8..75.4.613...67....8...2....153.....,673218954829475316451936872548621739162793548937584261394867125786152493215349687,26,63,13,1,0,5,0,5,6,Expert,
3......17..2..43.878......69........82.1..9.3.36....4.2.8.......6..8.......31.2..,359862417612574398784931526941623875827145963536798142298457631163289754475316289,26,34,21,1,0,0,0,0,0,Intermediate,
42.....18..98........2...9.14..7....8...16945....8..716957...............84..9.52,427693518519847263368251497143975826872316945956482371695728134231564789784139652,29,40,12,0,0,0,0,0,0,Easy,
.67..83..8.2..7..4...96....2...73.4...685....7.36..8.9...........42..7.6..9......,967418352812537964435962187298173645146859273753624819321746598584291736679385421,27,47,7,0,0,0,0,0,0,Easy,
1..........769.8......4.795..6.....84.....15..58....7....4..2......8...69..7...4.,192578364547693821863241795216957438479836152358124679635419287724385916981762543,24,38,17,0,1,2,0,2,0,Expert,
.....29.4.2..6.......598.7.98.25..6......65.7.........4..81..52.6....8.......5.41,658372914729461385314598276981257463243186597576943128437819652165724839892635741,27,42,12,0,0,0,0,0,0,Easy,
64..73....1........8...6.5..7.2.5.3.....6.21.42..8...7....17..6.......8.3.......4,645173892917852643283946751176295438538764219429381567894517326762439185351628974,25,63,17,1,0,2,0,5,6,Expert,
...54.3....2......7....38264.58......6....7..92........9...5.32.7.6...5...6..8...,689542371132786945754913826415837269368259714927164583891475632273691458546328197,25,30,26,0,0,0,0,0,0,Easy,
.4.....9.3...............45........1...2..5...97.5642.1.3..7.69.7432.....5..6....,748615392325984617916732845562473981431298576897156423183547269674329158259861734,25,65,7,0,1,0,0,4,4,Expert,
..7.3.1.4.6..1.................4..792.1..9.6..7.8........39...23.9271...8........,597632184468915723123487695685143279231759468974826351746398512359271846812564937,24,52,5,2,0,0,0,0,0,Intermediate,
...5..3....8.....9........8.76.8.....93.41.6....9..4..1....5.93..9.7..8.7..3....5,617598324248637519935412678476283951593741862821956437164825793359174286782369145,25,46,10,0,0,0,0,0,0,Easy,
7.65...2.......41.2...........3..7..4..1.72.3.8..6........54........3..71.5....8.,746531829893726415251498376512349768469187253387265941978654132624813597135972684,23,43,15,0,0,0,0,0,0,Easy,
..451......24..65.8......4..5....8....683..1.......364.1..2.9.........8..89.4...3,964512738172483659835976241351264897746839512298157364413628975527391486689745123,26,54,1,0,0,0,0,0,0,Easy,
.5.......12.....5.4.8......2.6....4.7..5..2......61..7.7...2..56...4..1.9..7..826,357126984129478653468359172216937548793584261584261397871692435632845719945713826,26,47,8,0,0,0,0,0,0,Easy,
9.43....73..5....46...7.........29.3.2.6...4.5...9..7..1..............2......165.,984326517372519864651478392146752983729683145538194276215867439863945721497231658,23,59,15,1,0,2,0,4,4,Expert,
.2...6.84.8.2.3.6...3..8..27.4651....51.........4.7......3.4...2...8......7.....1,125796384489213567673548912794651238351829476862437159918374625246185793537962841,26,40,15,1,0,0,0,0,0,Intermediate,
.51....8...84.3.......1...7.4.9.27....2.54...9.5....................1.534.7.89...,351627489728493561694815237843962715172354698965178342519236874286741953437589126,24,42,15,0,0,0,0,0,0,Easy,
...3.....95.8...3.1.4....67....1.......69..417...8.6.5.87.....4.........34..6.5..,278346159956871432134952867469517283825693741713284695687135924591428376342769518,25,37,19,0,0,0,0,0,0,Easy,
...19.....1....74.8.....2..6..5.1.2...2.86.751..9....4..4...........29..7.5....8.,276194358519238746843765291637541829492386175158927634964873512381452967725619483,25,49,15,0,0,5,0,3,2,Expert,
....92.84.4.16....62..83..15.....2...39....1..1.......4..........5..9.4.86....5.3,153792684948165327627483951584371269739826415216954738492538176375619842861247593,26,55,0,0,0,0,0,0,0,Simple,
.....1.....5....4..1....5.7.8..42.6.5...7......7..6...4..29518.92.4.....1..6..4..,742851936635729841819364527381542769564973218297186354476295183923418675158637492,26,38,16,3,0,1,0,1,0,Expert,
